date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:27:29	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2005%20May%202020%2020:27:31%20GMT	http://azim.commonsupport.com/robots.txt		(from )
04:27:29	66689/66689	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:48:08%20GMT	http://azim.commonsupport.com/Appway/	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/index.html	(from )
04:27:31	63102/63102	---M--	200	added ('OK')	text/css	date:Tue,%2029%20Jan%202019%2017:11:34%20GMT	http://azim.commonsupport.com/Appway/css/font-awesome-all.css	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/css/font-awesome-all.css	(from http://azim.commonsupport.com/Appway/)
04:27:31	4693/4693	---M--	200	added ('OK')	text/css	date:Thu,%2003%20Oct%202019%2002:08:56%20GMT	http://azim.commonsupport.com/Appway/css/flaticon.css	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/css/flaticon.css	(from http://azim.commonsupport.com/Appway/)
04:27:31	5687/5687	---M--	200	added ('OK')	text/css	date:Fri,%2004%20Oct%202019%2000:49:16%20GMT	http://azim.commonsupport.com/Appway/css/owl.css	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/css/owl.css	(from http://azim.commonsupport.com/Appway/)
04:27:33	13735/13735	---M--	200	added ('OK')	text/css	date:Mon,%2012%20Nov%202018%2015:52:20%20GMT	http://azim.commonsupport.com/Appway/css/jquery.fancybox.min.css	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/css/jquery.fancybox.min.css	(from http://azim.commonsupport.com/Appway/)
04:27:33	140936/140936	---M--	200	added ('OK')	text/css	date:Wed,%2002%20Oct%202019%2013:04:24%20GMT	http://azim.commonsupport.com/Appway/css/bootstrap.css	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/css/bootstrap.css	(from http://azim.commonsupport.com/Appway/)
04:27:34	15086/15086	---M--	200	added ('OK')	image/x-icon	date:Sun,%2006%20Oct%202019%2012:58:40%20GMT	http://azim.commonsupport.com/Appway/images/favicon.ico	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/images/favicon.ico	(from http://azim.commonsupport.com/Appway/)
04:27:34	85158/85158	---M--	200	added ('OK')	text/css	date:Wed,%2002%20Oct%202019%2018:42:12%20GMT	http://azim.commonsupport.com/Appway/css/animate.css	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/css/animate.css	(from http://azim.commonsupport.com/Appway/)
04:27:36	2954/2954	---M--	200	added ('OK')	text/css	date:Tue,%2012%20Nov%202019%2002:41:44%20GMT	http://azim.commonsupport.com/Appway/css/imagebg.css	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/css/imagebg.css	(from http://azim.commonsupport.com/Appway/)
04:27:39	81491/81491	---M--	200	added ('OK')	text/css	date:Thu,%2028%20Nov%202019%2017:03:24%20GMT	http://azim.commonsupport.com/Appway/css/responsive.css	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/css/responsive.css	(from http://azim.commonsupport.com/Appway/)
04:27:39	449471/449471	---M--	200	added ('OK')	text/css	date:Tue,%2026%20Nov%202019%2002:10:06%20GMT	http://azim.commonsupport.com/Appway/css/style.css	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/css/style.css	(from http://azim.commonsupport.com/Appway/)
04:27:40	66689/66689	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:48:08%20GMT	http://azim.commonsupport.com/Appway/index.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/index-2.html	(from http://azim.commonsupport.com/Appway/)
04:27:41	58253/58253	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:46:30%20GMT	http://azim.commonsupport.com/Appway/e-commerce.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/e-commerce.html	(from http://azim.commonsupport.com/Appway/)
04:27:43	4212/4212	---M--	200	added ('OK')	image/png	date:Wed,%2002%20Oct%202019%2001:27:00%20GMT	http://azim.commonsupport.com/Appway/images/logo.png	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/images/logo.png	(from http://azim.commonsupport.com/Appway/)
04:27:43	54921/54921	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:50:52%20GMT	http://azim.commonsupport.com/Appway/seo.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/seo.html	(from http://azim.commonsupport.com/Appway/)
04:27:45	56581/56581	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:44:38%20GMT	http://azim.commonsupport.com/Appway/account-billing.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/account-billing.html	(from http://azim.commonsupport.com/Appway/)
04:27:47	53165/53165	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:44:44%20GMT	http://azim.commonsupport.com/Appway/app-showcase.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/app-showcase.html	(from http://azim.commonsupport.com/Appway/)
04:27:49	49072/49072	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:47:58%20GMT	http://azim.commonsupport.com/Appway/hr-management.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/hr-management.html	(from http://azim.commonsupport.com/Appway/)
04:27:51	46043/46043	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:46:38%20GMT	http://azim.commonsupport.com/Appway/email-marketing.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/email-marketing.html	(from http://azim.commonsupport.com/Appway/)
04:27:51	46910/46910	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:49:00%20GMT	http://azim.commonsupport.com/Appway/payment-processing.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/payment-processing.html	(from http://azim.commonsupport.com/Appway/)
04:27:53	51148/51148	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:51:52%20GMT	http://azim.commonsupport.com/Appway/startup.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/startup.html	(from http://azim.commonsupport.com/Appway/)
04:27:54	50327/50327	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:46:02%20GMT	http://azim.commonsupport.com/Appway/digital-marketing.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/digital-marketing.html	(from http://azim.commonsupport.com/Appway/)
